  46 | 12/08/2011 | 12:06:35 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  47 | 12/08/2011 | 12:06:35 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  48 | 12/08/2011 | 12:06:35 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  49 | 12/08/2011 | 12:06:45 | System Event #0x83 | Timestamp Clock Sync | Asserted
  4a | 12/08/2011 | 12:06:45 | System Event #0x83 | Timestamp Clock Sync | Asserted
  4b | 12/08/2011 | 12:07:15 | System Event #0x83 | OEM System boot event | Asserted
  4c | 12/08/2011 | 12:07:56 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  4d | 12/08/2011 | 12:07:56 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  4e | 12/08/2011 | 14:35:05 | System Event #0x83 | Timestamp Clock Sync | Asserted
  4f | 12/08/2011 | 14:35:05 | System Event #0x83 | Timestamp Clock Sync | Asserted
  50 | 12/08/2011 | 14:35:33 | System Event #0x83 | OEM System boot event | Asserted
  51 | 12/15/2011 | 11:35:14 | System Event #0x83 | Timestamp Clock Sync | Asserted
  52 | 12/15/2011 | 11:35:14 | System Event #0x83 | Timestamp Clock Sync | Asserted
  53 | 12/15/2011 | 11:36:01 | System Event #0x83 | OEM System boot event | Asserted
  54 | 12/20/2011 | 13:37:44 | Button #0x09 | Reset Button pressed | Asserted
  55 | 12/20/2011 | 13:37:52 | System Event #0x83 | Timestamp Clock Sync | Asserted
  56 | 12/20/2011 | 13:38:05 | System Event #0x83 | Timestamp Clock Sync | Asserted
  57 | 12/20/2011 | 13:38:36 | System Event #0x83 | OEM System boot event | Asserted
  58 | 12/20/2011 | 13:40:09 | Version Change #0x12 | 
  59 | 12/20/2011 | 13:40:59 | Version Change #0x12 | 
  5a | 12/20/2011 | 13:43:02 | System Event #0x83 | Timestamp Clock Sync | Asserted
  5b | 12/20/2011 | 13:43:03 | System Event #0x83 | Timestamp Clock Sync | Asserted
  5c | 12/20/2011 | 13:44:55 | System Event #0x83 | OEM System boot event | Asserted
  5d | 12/20/2011 | 13:47:27 | Unknown #0x17 | 
  5e | 12/20/2011 | 13:56:04 | Button #0x09 | Reset Button pressed | Asserted
  5f | 12/20/2011 | 13:56:05 | Power Unit #0x01 | Power off/down | Asserted
  60 | 12/20/2011 | 13:56:10 | Power Unit #0x01 | Power off/down | Deasserted
  61 | 12/20/2011 | 13:56:34 | System Event #0x83 | Timestamp Clock Sync | Asserted
  62 | 12/20/2011 | 13:56:34 | System Event #0x83 | Timestamp Clock Sync | Asserted
  63 | 12/20/2011 | 13:56:50 | System Firmware Error #0x06 | Unknown Error | Asserted
  64 | 12/20/2011 | 13:56:50 | System Firmware Error #0x06 | Unknown Error | Asserted
  65 | 12/20/2011 | 13:56:50 | System Firmware Error #0x06 | Unknown Error | Asserted
  66 | 12/20/2011 | 13:56:50 | System Firmware Error #0x06 | Unknown Error | Asserted
  67 | 12/20/2011 | 13:57:08 | System Event #0x83 | OEM System boot event | Asserted
  68 | 12/20/2011 | 14:03:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
  69 | 12/20/2011 | 14:03:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
  6a | 12/20/2011 | 14:04:08 | System Firmware Error #0x06 | Unknown Error | Asserted
  6b | 12/20/2011 | 14:04:08 | System Firmware Error #0x06 | Unknown Error | Asserted
  6c | 12/20/2011 | 14:04:08 | System Firmware Error #0x06 | Unknown Error | Asserted
  6d | 12/20/2011 | 14:04:08 | System Firmware Error #0x06 | Unknown Error | Asserted
  6e | 12/20/2011 | 14:04:30 | Power Unit #0x01 | Power off/down | Asserted
  6f | 12/20/2011 | 14:04:36 | Power Unit #0x01 | Power off/down | Deasserted
  70 | 12/20/2011 | 14:04:49 | System Event #0x83 | Timestamp Clock Sync | Asserted
  71 | 12/20/2011 | 14:04:50 | System Event #0x83 | Timestamp Clock Sync | Asserted
  72 | 12/20/2011 | 14:07:33 | Power Unit #0x01 | Failure detected | Asserted
  73 | 12/20/2011 | 14:07:33 | Power Unit #0x01 | Power off/down | Asserted
  74 | 12/20/2011 | 14:07:33 | Power Supply #0x50 | Power Supply AC lost | Asserted
  75 | 12/20/2011 | 14:07:35 | Voltage #0xdd | Lower Non-critical going low 
  76 | 12/20/2011 | 14:07:35 | Voltage #0xdd | Lower Critical going low 
  77 | 12/20/2011 | 14:08:08 | Power Unit #0x01 | AC lost | Asserted
  78 | 12/20/2011 | 14:08:08 | Processor #0x70 | Presence detected | Asserted
  79 | 12/20/2011 | 14:08:08 | Processor #0x71 | Presence detected | Asserted
  7a | 12/20/2011 | 14:08:10 | Power Unit #0x01 | AC lost | Deasserted
  7b | 12/20/2011 | 14:08:21 | System Event #0x83 | Timestamp Clock Sync | Asserted
  7c | 12/20/2011 | 14:08:21 | System Event #0x83 | Timestamp Clock Sync | Asserted
  7d | 12/20/2011 | 14:08:56 | System Event #0x83 | OEM System boot event | Asserted
  7e | 12/20/2011 | 14:09:56 | System Event #0x83 | Timestamp Clock Sync | Asserted
  7f | 12/20/2011 | 14:09:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
  80 | 12/20/2011 | 14:10:25 | System Event #0x83 | OEM System boot event | Asserted
  81 | 12/20/2011 | 14:10:48 | System Event #0x83 | Timestamp Clock Sync | Asserted
  82 | 12/20/2011 | 14:10:48 | System Event #0x83 | Timestamp Clock Sync | Asserted
  83 | 12/20/2011 | 14:11:55 | System Event #0x83 | OEM System boot event | Asserted
  84 | 12/20/2011 | 14:13:12 | Version Change #0x12 | 
  85 | 12/20/2011 | 14:14:01 | Version Change #0x12 | 
  86 | 12/20/2011 | 14:19:22 | System Event #0x83 | Timestamp Clock Sync | Asserted
  87 | 12/20/2011 | 14:19:22 | System Event #0x83 | Timestamp Clock Sync | Asserted
  88 | 12/20/2011 | 14:20:00 | System Event #0x83 | OEM System boot event | Asserted
  89 | 12/26/2011 | 08:15:31 | System Event #0x83 | Timestamp Clock Sync | Asserted
  8a | 12/26/2011 | 08:15:31 | System Event #0x83 | Timestamp Clock Sync | Asserted
  8b | 12/26/2011 | 08:16:15 | System Event #0x83 | OEM System boot event | Asserted
  8c | 01/05/2012 | 15:20:15 | System Event #0x83 | Timestamp Clock Sync | Asserted
  8d | 01/05/2012 | 15:20:15 | System Event #0x83 | Timestamp Clock Sync | Asserted
  8e | 01/05/2012 | 15:21:12 | System Event #0x83 | OEM System boot event | Asserted
  8f | 01/12/2012 | 10:54:56 | System Event #0x83 | Timestamp Clock Sync | Asserted
  90 | 01/12/2012 | 10:54:56 | System Event #0x83 | Timestamp Clock Sync | Asserted
  91 | 01/12/2012 | 10:55:44 | System Event #0x83 | OEM System boot event | Asserted
  92 | 01/16/2012 | 12:19:55 | System Event #0x83 | Timestamp Clock Sync | Asserted
  93 | 01/16/2012 | 12:19:55 | System Event #0x83 | Timestamp Clock Sync | Asserted
  94 | 01/16/2012 | 12:20:35 | System Event #0x83 | OEM System boot event | Asserted
  95 | 01/16/2012 | 12:57:02 | System Event #0x83 | Timestamp Clock Sync | Asserted
  96 | 01/16/2012 | 12:57:03 | System Event #0x83 | Timestamp Clock Sync | Asserted
  97 | 01/16/2012 | 12:57:32 | System Event #0x83 | OEM System boot event | Asserted
  98 | 01/16/2012 | 12:58:13 | Critical Interrupt #0x05 | 
  99 | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9a | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9b | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9c | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9d | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9e | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  9f | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  a0 | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  a1 | 01/16/2012 | 12:58:14 | Critical Interrupt #0x05 | 
  a2 | 01/16/2012 | 15:37:47 | System Event #0x83 | Timestamp Clock Sync | Asserted
  a3 | 01/16/2012 | 15:37:48 | System Event #0x83 | Timestamp Clock Sync | Asserted
  a4 | 01/16/2012 | 15:38:17 | System Event #0x83 | OEM System boot event | Asserted
  a5 | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  a6 | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  a7 | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  a8 | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  a9 | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  aa | 01/16/2012 | 15:39:00 | Critical Interrupt #0x05 | 
  ab | 01/16/2012 | 15:39:01 | Critical Interrupt #0x05 | 
