ID  | Date        | Time     | Name             | Type                        | Event
887 | Oct-03-2012 | 04:38:20 | Pwr Unit Status  | Power Unit                  | AC lost/Power input lost
888 | Oct-03-2012 | 04:38:39 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
889 | Oct-03-2012 | 04:38:39 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
890 | Oct-03-2012 | 04:39:42 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
891 | Oct-03-2012 | 04:39:43 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
892 | Oct-03-2012 | 04:40:04 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
893 | Oct-03-2012 | 04:43:26 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
894 | Oct-03-2012 | 04:43:26 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
895 | Oct-03-2012 | 04:43:47 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
896 | Oct-18-2012 | 04:42:05 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
897 | Oct-18-2012 | 04:42:05 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
898 | Oct-18-2012 | 04:42:48 | Pwr Unit Status  | Power Unit                  | Power Off/Power Down
899 | Oct-18-2012 | 04:43:05 | PS1 Status       | Power Supply                | Power Supply input lost (AC/DC)
900 | Oct-18-2012 | 04:46:45 | P1 Status        | Processor                   | Processor Presence detected
901 | Oct-18-2012 | 04:46:45 | P2 Status        | Processor                   | Processor Presence detected
902 | Oct-18-2012 | 04:46:59 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
903 | Oct-18-2012 | 04:47:00 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
904 | Oct-18-2012 | 04:47:29 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
905 | Oct-18-2012 | 04:49:58 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
906 | Oct-18-2012 | 04:49:58 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
907 | Oct-18-2012 | 04:50:26 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
908 | Dec-10-2012 | 08:21:46 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
909 | Dec-10-2012 | 07:24:15 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
910 | Dec-10-2012 | 07:24:43 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
911 | Dec-10-2012 | 07:38:53 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
912 | Dec-10-2012 | 07:38:54 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
913 | Dec-10-2012 | 07:39:22 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
914 | Dec-26-2012 | 00:28:08 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
915 | Dec-26-2012 | 00:28:08 | BIOS Evt Sensor  | System Event                | Timestamp Clock Synch
916 | Dec-26-2012 | 00:29:20 | BIOS Evt Sensor  | System Event                | OEM System Boot Event
ipmi-sel - 1.2.1
Copyright (C) 2003-2012 FreeIPMI Core Team
This program is free software; you may redistribute it under the terms of
the GNU General Public License.  This program has absolutely no warranty.
